,index,url,lecture_name,professor_name,rate,semester,text
23,9,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,60.0,19년 1학기,저는 영어 채플이라는 게 있는 줄 모르고 수강신청했는데요... 영어를 모르니까 앞에서 연사분들이 좋은 말씀을 해주셔도 못알아먹겠더라고요;; 그래서 눈 좀 붙이려고 하면 감시자들이 계속 돌아다니면서 자지도 말라고 하고;  그분들이야 할 일을 열심히 하시는 거였겠지만 솔직히 좀 빡쳤어요;; 암튼 영어 듣기에 자신 있는 분 아니면 다른 날 수업을 듣는 게 좋을 것 같네요
24,10,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,60.0,19년 1학기,폰 잡는것 까진 용인가능하다해도 좀 엉뚱한 애들만 잡는 느낌... 종종 좋은 공연도 있었지만  크게 의미는 못느꼈습니다..
25,11,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,20.0,19년 1학기,의미를 모르겠는 수업이었다폰 너무 잡던데 폰 안하는 사람들까지 신경쓰일정도였다
26,12,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,60.0,19년 1학기,"라떼는 말야~ 채플 시간에 노트북 꺼내서 과제도했는데,  너무 빡세게 잡으시네요 ㅠ 잘들엇숨다"
27,13,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,40.0,19년 1학기,채플이 거기서 거기겠지만 저는 조금 실망했습니다저도 사실 핸드폰 하곤 했고 채플가는게 정말 귀찮고 싫었던거라핸드폰하지말라고 단속하실때 그냥 그런가보다 하고 그냥 멍 때리곤 했는데요 제 친구가 공연을해서 집중해서 보고 싶거나 아님 초청 교수님? 오셔서 집중해서 들으려고 하면 옆에서 계속 핸드폰하지마세요 소리 들리고 왓다갔다 돌아다니시니까 집중이 안되고 방해되더라구요.... 학생들 강의 들으라고 그러시는걸텐데 들으려고 하던 사람들까지 듣기 싫어지게 만드는 것 같아요. 국제대라 필수 영어 채플을 듣지만 사실 영어가 익숙치 않은데 옆에서 그런 소리까지 들리니 뭐라는지 잘 안들리고 놓치는 경우도 종종 있었습니다. 어차피 폰 하실 분들은 몰래라도 그냥 하실텐데 왜 굳이 그렇게까지 강의를 듣게 만드는지는 잘 모르겠습니다. 검사하시는 분도 그걸로 엄청 스트레스 받으시는 것 같던데... 물런 당연히 학생으로서 강의를 들어야되고 그게 예의이긴하지만 채플만 유독 깐깐하게 하는 이유를 사실 모르겠구요... 그렇게따지면 애초에 채플응 필수적으로 듣게 하는 것 자체가 종교 강요 아닐까요? 듣고 싶은 사람은 집중할 수 있는 분위기를 만들어주시는 것도 한번쯤 고려해주시면 보다 더 나은 채플 수업이 되지않을까싶네요😊
28,0,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,100.0,20년 1학기,코로나 학기여서 개꿀딱! 보고서는 귀찮지만 ㄱㅊ
29,1,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,100.0,20년 1학기,채플 출석 체크 때문에 감상문 쓰는게 조금 귀찮았지만 그래도 힐링되는 시간이었음.
30,2,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,100.0,20년 1학기,후배들아 채플을 온라인으로 듣는건 ㄱㅇㄷ이다 진짜...
31,3,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,80.0,20년 1학기,비종교인 입장에서는 심플하게 음악감상하고 좋은 이야기 듣는 가벼운 수업시간 정도였다.그다지 나쁘지는 않았지만 감상문 쓰는게 조금 귀찮기는 했다.
32,4,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,60.0,20년 1학기,온라인채플 진행. 동영상 90%이상 보고 감상문 몇줄 적으면 출첵 인정되는 구조. 개인적으론 직접 가서 앉아있어야 하는 오프라인채플보단 편했음ㅋㅋ
33,5,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,20.0,19년 1학기,이 학교는 왜이렇게 채플에 집착하노? 나는 이번 학기부로 신을 더이상 믿지 않게 되었다. 신이 나에게 잠잘 시간도 안만들어준다는게 말이 되냐? 으휴.....
34,6,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,60.0,19년 1학기,채플이.. 그냥 드디어 채플 올패쓰~화이팅하세엿!
35,7,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,60.0,19년 1학기,영어채플이라 잠이 더 잘 오고 집중이 안되더라고요. 교수님은 좋으십니다.
36,8,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,20.0,19년 1학기,계속 폰 집요하게 잡는 또라이 백퍼 채플 한번 안들어본 비학부생 대학원생이다 얼굴보면 절대 학부생 조교 아닌것같은데 진짜 개스트레스. 교수님은 좋으심
37,9,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,60.0,19년 1학기,저는 영어 채플이라는 게 있는 줄 모르고 수강신청했는데요... 영어를 모르니까 앞에서 연사분들이 좋은 말씀을 해주셔도 못알아먹겠더라고요;; 그래서 눈 좀 붙이려고 하면 감시자들이 계속 돌아다니면서 자지도 말라고 하고;  그분들이야 할 일을 열심히 하시는 거였겠지만 솔직히 좀 빡쳤어요;; 암튼 영어 듣기에 자신 있는 분 아니면 다른 날 수업을 듣는 게 좋을 것 같네요
38,10,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,60.0,19년 1학기,폰 잡는것 까진 용인가능하다해도 좀 엉뚱한 애들만 잡는 느낌... 종종 좋은 공연도 있었지만  크게 의미는 못느꼈습니다..
39,11,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,20.0,19년 1학기,의미를 모르겠는 수업이었다폰 너무 잡던데 폰 안하는 사람들까지 신경쓰일정도였다
40,12,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,60.0,19년 1학기,"라떼는 말야~ 채플 시간에 노트북 꺼내서 과제도했는데,  너무 빡세게 잡으시네요 ㅠ 잘들엇숨다"
41,13,https://yonsei.everytime.kr/lecture/view/1932384,채플(1),곽호철,40.0,19년 1학기,채플이 거기서 거기겠지만 저는 조금 실망했습니다저도 사실 핸드폰 하곤 했고 채플가는게 정말 귀찮고 싫었던거라핸드폰하지말라고 단속하실때 그냥 그런가보다 하고 그냥 멍 때리곤 했는데요 제 친구가 공연을해서 집중해서 보고 싶거나 아님 초청 교수님? 오셔서 집중해서 들으려고 하면 옆에서 계속 핸드폰하지마세요 소리 들리고 왓다갔다 돌아다니시니까 집중이 안되고 방해되더라구요.... 학생들 강의 들으라고 그러시는걸텐데 들으려고 하던 사람들까지 듣기 싫어지게 만드는 것 같아요. 국제대라 필수 영어 채플을 듣지만 사실 영어가 익숙치 않은데 옆에서 그런 소리까지 들리니 뭐라는지 잘 안들리고 놓치는 경우도 종종 있었습니다. 어차피 폰 하실 분들은 몰래라도 그냥 하실텐데 왜 굳이 그렇게까지 강의를 듣게 만드는지는 잘 모르겠습니다. 검사하시는 분도 그걸로 엄청 스트레스 받으시는 것 같던데... 물런 당연히 학생으로서 강의를 들어야되고 그게 예의이긴하지만 채플만 유독 깐깐하게 하는 이유를 사실 모르겠구요... 그렇게따지면 애초에 채플응 필수적으로 듣게 하는 것 자체가 종교 강요 아닐까요? 듣고 싶은 사람은 집중할 수 있는 분위기를 만들어주시는 것도 한번쯤 고려해주시면 보다 더 나은 채플 수업이 되지않을까싶네요😊
42,0,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,20년 1학기,채플 얼릉 들으세요~싸강일때 들어야지 안그러면 손해예요
43,1,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,20년 1학기,싸강개꿀쌉꿀출석은 보고서로대체!싸강일때 꼭듣자ㅎㅎ
44,2,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,20년 1학기,"채플은 싸강일 때 들으세여...^^ 진심입니다,,"
45,3,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,20년 1학기,채플은 싸강으로 하는게 맞는 수업인듯 밥먹으면서 라디오처럼 들으면 너무좋아연
46,4,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,20년 1학기,영상도 괜찮고 출석기간도 넉넉해서 좋음내용도 유익함  무난하니 잘 들었음 추천
47,5,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,20년 1학기,비대면 채플 개꿀 동영상 퀄 좋음 물론 안듣지만..
48,6,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,20년 1학기,온라인 채플 완전 개꿀!! 간혹 좋은 말씀들도 참고하기 좋음
49,7,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,20년 1학기,마지막 채플 이렇게 끝내네요. 온라인도 나름 괜찮은듯해요
50,8,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,채플 출석 체크 꼭하세요. 안했다가 피봅니다¡!!!!!!!!!!
51,9,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,채플...또 듣고싶다ㅠㅠ.....출석은 미리 미리!!
52,10,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,힐링시간 채플.........................................!!
53,11,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,60.0,19년 1학기,채플은 채플 !!!!!!!!!!!!!!!!!!!!!!!!!
54,12,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,60.0,19년 1학기,채플은 채플이쥬333 굳나잇 하십쇼무선이어폰 나온 이후로 정말 꿀잠잘수있게된것같음
55,13,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,채플 끝! 일주일마다 힐링하다 갑니다~ 교수님도 친절하셨어요
56,14,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,채플 채플 갓갓갓채플!!!!! 채플하나남었어요!!
57,15,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,아 드디어 채플 졸업! 아멘아멘^^7 대강당 다신 갈 일 없다ㅎㅎ
58,16,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,채플은 채플 발레도 보고 나름 힐링 했음ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
59,17,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,이거 완전 할거 없는 수업이잖아? 핸드폰만 하고있으면 패스라구?
60,18,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,그냥 채플. 잘잤다. 하암 하암 하암 쿨쿨쿨쿨쿨
61,19,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,마지막 채플 ㅎㅎㅎ 그동안 잘 잤어요 가끔 전공 수업 앞에 넣으면 과제 벼락치기도 하기 좋음
62,20,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,이번엔 패스 성공...... 발레 채플이 재밌었음
63,21,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,채플이 채플이지 ㅁ ㅜㄹ더 성의잇게 적으라는겨
64,22,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,채플린은 채플을 듣는다규우리 모두 듣자규성의있는 글 쓰기 힘들엉
65,23,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,죄책감 없이 잘 수 있는 시간이라 나쁘지 않은것같습니다. 물론 그시간에 누워서 자는게 이득
66,24,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,채플 미리미리 들으세요ㅜㅜ4-2되서야 겨우 끝내네요
67,25,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,드디어 마지막 채플ㅠㅠㅠ 이젠 안녕... 나름 듣다보면 얻어가는게 있긴합니다
68,26,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,채플이 채플이죠 채플은 채플이죠 개꿀입니다 다만 강당이 좀 춥네요
69,27,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,"채플이여서 딱히 과제나 조모임없고 알다시피 ㅅ전자출결잘하기만하면 패논패통과가능,,"
70,28,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,대강당개꿀;;; 걍 자거나 폰하거나잘 쉬고 갑니다
71,0,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,20년 1학기,채플 얼릉 들으세요~싸강일때 들어야지 안그러면 손해예요
72,1,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,20년 1학기,싸강개꿀쌉꿀출석은 보고서로대체!싸강일때 꼭듣자ㅎㅎ
73,2,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,20년 1학기,"채플은 싸강일 때 들으세여...^^ 진심입니다,,"
74,3,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,20년 1학기,채플은 싸강으로 하는게 맞는 수업인듯 밥먹으면서 라디오처럼 들으면 너무좋아연
75,4,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,20년 1학기,영상도 괜찮고 출석기간도 넉넉해서 좋음내용도 유익함  무난하니 잘 들었음 추천
76,5,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,20년 1학기,비대면 채플 개꿀 동영상 퀄 좋음 물론 안듣지만..
77,6,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,20년 1학기,온라인 채플 완전 개꿀!! 간혹 좋은 말씀들도 참고하기 좋음
78,7,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,20년 1학기,마지막 채플 이렇게 끝내네요. 온라인도 나름 괜찮은듯해요
79,8,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,채플 출석 체크 꼭하세요. 안했다가 피봅니다¡!!!!!!!!!!
80,9,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,채플...또 듣고싶다ㅠㅠ.....출석은 미리 미리!!
81,10,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,힐링시간 채플.........................................!!
82,11,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,60.0,19년 1학기,채플은 채플 !!!!!!!!!!!!!!!!!!!!!!!!!
83,12,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,60.0,19년 1학기,채플은 채플이쥬333 굳나잇 하십쇼무선이어폰 나온 이후로 정말 꿀잠잘수있게된것같음
84,13,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,채플 끝! 일주일마다 힐링하다 갑니다~ 교수님도 친절하셨어요
85,14,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,채플 채플 갓갓갓채플!!!!! 채플하나남었어요!!
86,15,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,아 드디어 채플 졸업! 아멘아멘^^7 대강당 다신 갈 일 없다ㅎㅎ
87,16,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,채플은 채플 발레도 보고 나름 힐링 했음ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
88,17,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,이거 완전 할거 없는 수업이잖아? 핸드폰만 하고있으면 패스라구?
89,18,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,그냥 채플. 잘잤다. 하암 하암 하암 쿨쿨쿨쿨쿨
90,19,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,마지막 채플 ㅎㅎㅎ 그동안 잘 잤어요 가끔 전공 수업 앞에 넣으면 과제 벼락치기도 하기 좋음
91,20,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,이번엔 패스 성공...... 발레 채플이 재밌었음
92,21,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,채플이 채플이지 ㅁ ㅜㄹ더 성의잇게 적으라는겨
93,22,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,채플린은 채플을 듣는다규우리 모두 듣자규성의있는 글 쓰기 힘들엉
94,23,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,죄책감 없이 잘 수 있는 시간이라 나쁘지 않은것같습니다. 물론 그시간에 누워서 자는게 이득
95,24,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,채플 미리미리 들으세요ㅜㅜ4-2되서야 겨우 끝내네요
96,25,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,드디어 마지막 채플ㅠㅠㅠ 이젠 안녕... 나름 듣다보면 얻어가는게 있긴합니다
97,26,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,채플이 채플이죠 채플은 채플이죠 개꿀입니다 다만 강당이 좀 춥네요
98,27,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,"채플이여서 딱히 과제나 조모임없고 알다시피 ㅅ전자출결잘하기만하면 패논패통과가능,,"
99,28,https://yonsei.everytime.kr/lecture/view/1932445,채플(3),김동환,100.0,19년 1학기,대강당개꿀;;; 걍 자거나 폰하거나잘 쉬고 갑니다
100,0,https://yonsei.everytime.kr/lecture/view/203447,채플(3),정미현,100.0,20년 1학기,편하게 들을 수 있어요 ㅎㅎ 음악연주도 자주나와서 듣기좋아요
101,1,https://yonsei.everytime.kr/lecture/view/203447,채플(3),정미현,80.0,20년 1학기,코로나로 꿀빨면서 채플들음 걍 영상 켜두고 다른 거 하다가 키워드 몇개 엮어서 소감문 재빠르게 작성해서 제출하먄 끝 시험기간에는 귀찮아서 걍 안들었음..
102,2,https://yonsei.everytime.kr/lecture/view/203447,채플(3),정미현,100.0,20년 1학기,코로나로 인해서 진짜 힐링하듯이 들었음한 10분 보고 쪽글 작성해서 출석체크 받으면 됩니다동영상 틀어놓고 내 할 거 하면돼요
103,3,https://yonsei.everytime.kr/lecture/view/203447,채플(3),정미현,60.0,20년 1학기,그냥 채플. 이거 들으면서 그냥 카페에 앉아있다는 생각으로 쉬는 수업.
104,4,https://yonsei.everytime.kr/lecture/view/203447,채플(3),정미현,100.0,20년 1학기,고화질이라 눈이 편-----안. 코로나때문에 방구석에서 인강듣다 지치면 좋은 말로 힘을 주심
105,5,https://yonsei.everytime.kr/lecture/view/203447,채플(3),정미현,100.0,20년 1학기,채플 끝났다.... 하하하하하하 이번에 좀 쉽게 p받아서 기쁘다
106,6,https://yonsei.everytime.kr/lecture/view/203447,채플(3),정미현,100.0,17년 1학기,채플은 오후가 꿀이죠ㅎㅎ패스 기준 잘 알아보고 수강하세요!!
107,7,https://yonsei.everytime.kr/lecture/view/203447,채플(3),정미현,100.0,20년 1학기,역시 채플은 싸강입니다ㅎㅎ싸강이다보니 편하게 듣고 후기도 간단하게 쓰는데 저는 크게 불편하진 않았음ㅋㅋㅋㅋ
108,8,https://yonsei.everytime.kr/lecture/view/203447,채플(3),정미현,80.0,19년 1학기,시간과 학비가 아까운 수업입니다. 다들 자거나 폰을 만집니다. 좀 더 새로운 방식으로 진행했으면 좋겠습니다. 시간과 자원이 너무 아깝습니다ㅠㅠㅠ
109,9,https://yonsei.everytime.kr/lecture/view/203447,채플(3),정미현,100.0,19년 1학기,그냥 폰하면댐! 가끔 영화보는 사람있지만 그건 좀..
110,10,https://yonsei.everytime.kr/lecture/view/203447,채플(3),정미현,60.0,17년 1학기,시간괜찮다 싶은날은 그냥 가세요 그래야 나중에 가기싫을때 빠질수잇음
111,11,https://yonsei.everytime.kr/lecture/view/203447,채플(3),정미현,60.0,19년 1학기,ㅊㅐ플패플마지막채플개꿀더 이상 어떻게 성의있게 작성하랴
112,12,https://yonsei.everytime.kr/lecture/view/203447,채플(3),정미현,100.0,19년 1학기,그냥 채플임3번 빠지고 4번까지 아마 빠질수 있었는데 그냥 갔어요.
113,13,https://yonsei.everytime.kr/lecture/view/203447,채플(3),정미현,100.0,19년 1학기,영어채플이라 알아듣기 어려운 점은 있었습니다.  패스 조건 잘 알아두고 맞추는게 중요
114,14,https://yonsei.everytime.kr/lecture/view/203447,채플(3),정미현,100.0,19년 1학기,그냥 우리 모두가 아는 평범한 영어채플임. 무슨 말이 더 필요할까
115,15,https://yonsei.everytime.kr/lecture/view/203447,채플(3),정미현,100.0,19년 1학기,좋아요 좋아요  채플 이제 곧 끝이 보인다ㅜㅜㅜ  성의있는! 글입니다!
